Date,Timestamp,Symbol,TSI,Phase,RM50,RM10,Last,Pct_Change,Pct_Hi,Pct_Vol,5Day,3Month,6Month,YTD,TP_P,TP_V
2025-11-11,2025-11-11T15:04:30.306882,SPY,7.13,,,,,,,,,,,,,
2025-11-11,2025-11-11T15:04:30.306882,QQQ,9.55,,,,,,,,,,,,,
2025-11-12,2025-11-12T15:48:24.639941,SPY,7.4,,,,,,,,,,,,,
2025-11-12,2025-11-12T15:48:24.639941,QQQ,9.42,,,,,,,,,,,,,
2025-11-13,2025-11-13T05:02:26.471461,SPY,7.21,BULLISH,BULL,RECO,683.66,0.1,32.0,-21.0,0.9,6.01,16.35,16.65,n.a.,BULL+
2025-11-13,2025-11-13T05:02:26.471461,QQQ,9.16,BULLISH,BULL,BEAR!,621.06,-0.08,54.0,0.0,-0.36,7.02,19.74,21.48,WARN,BEAR
2025-11-14,2025-11-14T04:18:10.467497,SPY,6.02,BULLISH,WARN!,BEAR!,671.73,-1.7,88.0,25.0,0.32,4.26,13.88,14.61,n.a.,BULL+
2025-11-14,2025-11-14T04:18:10.467497,QQQ,7.86,BULLISH,WARN!,BEAR,608.4,-1.84,81.0,43.0,-0.53,4.92,17.17,19.01,WARN,BEAR+
2025-11-15,2025-11-15T04:15:32.062258,SPY,4.91,BULLISH,WARN,BEAR,672.21,0.03,28.0,-11.0,-1.35,4.49,13.0,14.7,n.a.,BULL
2025-11-15,2025-11-15T04:15:32.062258,QQQ,6.41,BULLISH,WARN,BEAR,608.86,0.04,28.0,0.0,-2.36,5.44,16.57,19.1,WARN,BEAR+
2025-11-16,2025-11-16T06:45:00.100013,SPY,5.78,BULLISH,WARN,BEAR,671.93,0.19,30.0,-6.0,0.14,4.43,13.08,14.65,n.a.,BULL
2025-11-16,2025-11-16T06:45:00.100013,QQQ,7.69,BULLISH,WARN,BEAR,608.86,0.49,28.0,12.0,-0.14,5.46,16.75,19.1,WARN,BEAR
2025-11-17,2025-11-17T04:21:12.522297,SPY,5.78,BULLISH,WARN,BEAR,671.93,0.19,30.0,-6.0,0.14,4.43,13.08,14.65,n.a.,BULL
2025-11-17,2025-11-17T04:21:12.522297,QQQ,7.69,BULLISH,WARN,BEAR,608.86,0.49,28.0,12.0,-0.14,5.46,16.75,19.1,WARN,BEAR
2025-11-18,2025-11-18T04:18:23.003814,SPY,4.21,BULLISH,WARN,BEAR,664.02,-1.18,84.0,-27.0,-2.56,3.22,11.63,13.3,n.a.,BULL
2025-11-18,2025-11-18T04:18:23.003814,QQQ,6.0,WARNING!,WARN,BEAR,603.66,-0.81,70.0,-23.0,-3.06,4.69,15.74,18.08,WARN,BEAR+
2025-11-19,2025-11-19T04:18:38.652633,SPY,3.81,WARNING,WARN,BEAR,661.82,-0.58,36.0,3.0,-3.04,3.5,11.7,12.92,n.a.,BEAR
2025-11-19,2025-11-19T04:18:38.652633,QQQ,4.59,WARNING,WARN,BEAR,596.31,-1.32,55.0,25.0,-4.06,4.75,14.62,16.64,WARN,BEAR+
2025-11-20,2025-11-20T04:17:35.610479,SPY,3.94,WARNING,WARN,BEAR,663.53,0.52,44.0,-33.0,-2.9,3.98,13.84,13.21,n.a.,BEAR
2025-11-20,2025-11-20T04:17:35.610479,QQQ,4.85,WARNING,WARN,BEAR,599.78,0.46,55.0,-19.0,-3.56,5.85,16.75,17.32,WARN,BEAR+
2025-11-21,2025-11-21T04:18:20.938849,SPY,2.88,WARNING,WARN,BEAR,653.35,-1.4,99.0,45.0,-2.8,2.78,12.03,11.48,n.a.,BEAR+
2025-11-21,2025-11-21T04:18:20.938849,QQQ,3.48,WARNING,WARN,BEAR,585.67,-2.45,97.0,53.0,-3.74,3.97,13.94,14.56,DIST!,BEAR+
2025-11-22,2025-11-22T04:16:14.137746,SPY,3.41,WARNING,WARN,BEAR,660.14,1.17,32.0,-38.0,-1.61,2.45,14.16,12.64,n.a.,BEAR
2025-11-22,2025-11-22T04:16:14.137746,QQQ,3.91,WARNING,WARN,BEAR,590.07,0.75,43.0,-15.0,-3.09,3.16,15.87,15.42,DIST!,BEAR+
2025-11-23,2025-11-23T04:28:47.540977,SPY,3.41,WARNING,WARN,BEAR,660.14,1.17,32.0,-38.0,-1.61,2.45,14.16,12.64,n.a.,BEAR
2025-11-23,2025-11-23T04:28:47.540977,QQQ,3.91,WARNING,WARN,BEAR,590.07,0.75,43.0,-15.0,-3.09,3.16,15.87,15.42,DIST!,BEAR+
2025-11-24,2025-11-24T04:29:39.083622,SPY,3.41,WARNING,WARN,BEAR,660.14,1.17,32.0,-38.0,-1.61,2.45,14.16,12.64,n.a.,BEAR
2025-11-24,2025-11-24T04:29:39.083622,QQQ,3.91,WARNING,WARN,BEAR,590.07,0.75,43.0,-15.0,-3.09,3.16,15.87,15.42,DIST!,BEAR+
2025-11-25,2025-11-25T04:20:56.261287,SPY,4.10,WARNING,WARN,BEAR,668.73,1.47,16,-44,0.45,4.08,13.11,14.10,n.a.,BEAR
2025-11-25,2025-11-25T04:20:56.261287,QQQ,5.30,WARNING,WARN,BEAR,605.16,2.77,13,-45,0.25,6.11,16.10,18.37,WARN!,BEAR
